,Axis.1,Axis.2,Date,Air Type,Type
P1,-0.108716695,0.024352034,10-Jul-19,Indoor Transit,Indoor Transit
P2,-0.089238814,-0.085730166,11-Jul-19,Indoor Transit,Indoor Transit
P3,-0.085037383,0.026644688,17-Jul-19,Indoor Transit,Indoor Transit
P4,-0.130683179,-0.064407267,25-Jul-19,Indoor Transit,Indoor Transit
P5,-0.019525849,-0.036996284,1-Jul-19,Outdoor,Outdoor-R1
S1,0.179989727,-0.025702671,3-Jul-19,Outdoor,Outdoor-R2
S2,0.143765195,0.022510134,5-Jul-19,Outdoor,Outdoor-R2
P6,0.014413426,0.138406557,9-Jul-19,Outdoor,Outdoor-R1
P7,-0.084347917,0.124153072,10-Jul-19,Outdoor,Outdoor-R1
P8,0.010740059,-0.047595026,12-Jul-19,Outdoor,Outdoor-R2
S3,0.05487037,-0.120659325,15-Jul-19,Outdoor,Outdoor-R1
S4,0.11377106,0.045024253,16-Jul-19,Outdoor,Outdoor-R2