,P1,P2,P3,P4,P5,P6,P7,P8,S1,S2,S3,S4
P1,0,0.265521653,0.21892075,0.255441027,0.274392812,0.261141955,0.292958204,0.278557803,0.361931116,0.328792009,0.299631646,0.337575222
P2,0.265521653,0,0.221767367,0.215750024,0.231261303,0.30445469,0.300940131,0.217315485,0.331935204,0.313408571,0.301763583,0.329245563
P3,0.21892075,0.221767367,0,0.254826842,0.230885661,0.256748848,0.292057061,0.251456511,0.328682286,0.299431985,0.336405457,0.319912113
P4,0.255441027,0.215750024,0.254826842,0,0.244436533,0.322882814,0.268390544,0.245093325,0.351071636,0.354151447,0.316560621,0.33393097
P5,0.274392812,0.231261303,0.230885661,0.244436533,0,0.246898965,0.278824212,0.222202346,0.282508739,0.273473792,0.260673034,0.314512983
P6,0.261141955,0.30445469,0.256748848,0.322882814,0.246898965,0,0.253909638,0.249088621,0.303162411,0.260832769,0.321605289,0.301205248
P7,0.292958204,0.300940131,0.292057061,0.268390544,0.278824212,0.253909638,0,0.284096088,0.362357087,0.35671361,0.337075886,0.310519588
P8,0.278557803,0.217315485,0.251456511,0.245093325,0.222202346,0.249088621,0.284096088,0,0.268641522,0.269924882,0.250278003,0.268223632
S1,0.361931116,0.331935204,0.328682286,0.351071636,0.282508739,0.303162411,0.362357087,0.268641522,0,0.235642235,0.301526137,0.270520151
S2,0.328792009,0.313408571,0.299431985,0.354151447,0.273473792,0.260832769,0.35671361,0.269924882,0.235642235,0,0.31130391,0.293631769
S3,0.299631646,0.301763583,0.336405457,0.316560621,0.260673034,0.321605289,0.337075886,0.250278003,0.301526137,0.31130391,0,0.306879363
S4,0.337575222,0.329245563,0.319912113,0.33393097,0.314512983,0.301205248,0.310519588,0.268223632,0.270520151,0.293631769,0.306879363,0